AC;Acre;732793;8477
AL;Alagoas;3120922;24575
AP;Amapá;668689;8266
AM;Amazonas;3480937;59779
BA;Bahia;14021432;154340
CE;Ceara;8448055;77865
DF;Distrito Federal;2562963;149906
ES;Espírito Santo;3512672;82122
GO;Goiás;6004045;97576
MA;Maranhão;6569683;45256
MT;Mato Grosso;3033991;59600
MS;Mato Grosso do Sul;2449341;43514
MG;Minas Gerais;19595309;351381
PA;Pará;7588078;77848
PB;Paraíba;3766834;31947
PR;Paraná;10439601;217290
PE;Pernambuco;8796032;95187
PI;Piauí;3119015;22060
RJ;Rio de Janeiro;15993583;407123
RN;Rio Grande do Norte;3168133;32339
RS;Rio Grande do Sul;10695532;252483
RO;Rondônia;1560501;23561
RR;Roraima;451227;6341
SC;Santa Catarina;6249682;152482
SP;São Paulo;41252160;1247596
SE;Sergipe;2068031;23932
TO;Tocantins;1383453;17240